schemeName,schemeDescription,schemeUrl
PM-KISAN (PM Kisan Samman Nidhi),"Rs.6,000/year direct income support to eligible farmer families.",https://pmkisan.gov.in
PM Fasal Bima Yojana (PMFBY),Crop insurance against yield loss due to natural calamities.,https://pmfby.gov.in
PM-KUSUM,Subsidy for solar irrigation pumps and grid-connected solar power for farmers.,https://pmkusum.mnre.gov.in
Kisan Credit Card (KCC),Short-term credit for agriculture and allied activities.,https://www.myscheme.gov.in/schemes/kcc
e-NAM (National Agriculture Market),Online trading platform for agricultural commodities.,https://enam.gov.in
Soil Health Card Scheme,Free soil testing and nutrient recommendations for farmers.,https://soilhealth.dac.gov.in
Ayushman Bharat PM-JAY,Health cover up to Rs.5 lakh/family/year for hospitalisation.,https://pmjay.gov.in
Pradhan Mantri Suraksha Bima Yojana (PMSBY),Accidental death & disability insurance at Rs.20/year.,https://jansuraksha.gov.in
Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),Life insurance cover of Rs.2 lakh at low annual premium.,https://jansuraksha.gov.in
Janani Suraksha Yojana (JSY),Cash assistance for institutional delivery to reduce maternal/infant mortality.,"https://nhm.gov.in/index1.php?lang=1&level=3&lid=309&sublinkid=841"
Mission Indradhanush,Universal childhood immunization drive.,https://main.mohfw.gov.in
PM Awas Yojana (Urban & Gramin),Affordable housing for the urban and rural poor.,https://pmaymis.gov.in
PM Gram Sadak Yojana (PMGSY),All-weather road connectivity for rural habitations.,https://pmgsy.nic.in
Swachh Bharat Mission,"Sanitation, toilet construction and cleanliness drive.",https://swachhbharatmission.gov.in
Jal Jeevan Mission,Functional tap water connection to every rural household.,https://jaljeevanmission.gov.in
PM Surya Ghar: Muft Bijli Yojana,Rooftop solar subsidy for up to 300 units free electricity/month.,https://pmsuryaghar.gov.in
MGNREGA,Legal guarantee of 100 days wage employment/year in rural areas.,https://nrega.nic.in
Pradhan Mantri Kaushal Vikas Yojana (PMKVY),Free short-term skill training and certification.,https://pmkvyofficial.org
Pradhan Mantri Mudra Yojana (PMMY),Collateral-free loans up to Rs.20 lakh for micro/small enterprises.,https://www.mudra.org.in
Stand-Up India,Bank loans for women and SC/ST entrepreneurs for greenfield enterprises.,https://www.standupmitra.in
Startup India,"Registration, tax benefits and funding support for startups.",https://www.startupindia.gov.in
PM Vishwakarma Yojana,"Support for traditional artisans: training, toolkit voucher, low-interest loans.",https://pmvishwakarma.gov.in
PM Employment Generation Programme (PMEGP),Credit-linked subsidy for setting up micro-enterprises.,https://www.kviconline.gov.in/pmegpeportal
Beti Bachao Beti Padhao,Awareness and welfare initiative for the girl child.,https://wcd.nic.in/bbbp-schemes
Sukanya Samriddhi Yojana,Small savings scheme for the girl child's education/marriage.,"https://www.nsiindia.gov.in/InternalPage.aspx?Id_Pk=89"
PM Matru Vandana Yojana (PMMVY),Cash benefit to pregnant and lactating mothers.,https://pmmvy.wcd.gov.in
Mission Shakti / Mission Vatsalya,"Umbrella schemes for women's safety, empowerment and child protection.",https://wcd.nic.in
Pradhan Mantri Jan Dhan Yojana (PMJDY),Zero-balance bank accounts for financial inclusion.,https://pmjdy.gov.in
Atal Pension Yojana,Pension scheme for unorganised sector workers.,https://npscra.nsdl.co.in/scheme-details.php
PM Shram Yogi Maan-dhan / e-Shram,Registration and pension/social security for unorganised workers.,https://eshram.gov.in
National Pension System (NPS),"Voluntary, market-linked retirement savings scheme.",https://www.npscra.nsdl.co.in
National Scholarship Portal (NSP),Single-window platform for central and state scholarships.,https://scholarships.gov.in
PM POSHAN (Mid-Day Meal Scheme),Nutritional support through school meals.,https://pmposhan.education.gov.in
Samagra Shiksha Abhiyan,Integrated scheme for school education from pre-school to class 12.,https://samagra.education.gov.in
PM Vidyalaxmi,Collateral-free education loans for higher studies.,https://www.vidyalakshmi.co.in
Digital India,Umbrella programme for digital infrastructure and e-governance.,https://digitalindia.gov.in
UMANG App,Unified mobile app for accessing government services.,https://web.umang.gov.in
Common Services Centres (CSC),Access points for e-governance and digital services in rural areas.,https://www.csc.gov.in
